"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",1998,1998,"CMT","MFN",10.27,4.72,4.42,0,20,29,0,1,89296.758,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",1999,1999,"CMT","AHS",0.34,0.69,1.16,0,6,68,0,0,89316.936,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",1999,1999,"CMT","BND",35,35,0,35,35,29,0,29,89316.936,100
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",1999,1999,"CMT","MFN",13.26,7.57,4.35,3,23,68,0,8,89316.936,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",1999,1999,"CMT","PRF",0.34,0.69,1.16,0,6,66,,0,89316.936,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",2000,2000,"CMT","AHS",13.09,7.74,4.34,3,23,29,0,7,100680.682,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",2000,2000,"CMT","BND",35,35,0,35,35,28,0,28,100680.682,100
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",2000,2000,"CMT","MFN",13.09,7.74,4.34,3,23,29,0,7,100680.682,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",2001,2001,"CMT","AHS",13.27,7.54,4.42,3,23,29,0,8,93858.767,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",2001,2001,"CMT","BND",35,35,0,35,35,28,0,28,93858.767,100
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",2001,2001,"CMT","MFN",13.27,7.54,4.42,3,23,29,0,8,93858.767,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",2002,2002,"CMT","AHS",0.04,0.02,0.18,0,1,29,0,0,98327.49,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",2002,2002,"CMT","BND",35,35,0,35,35,28,0,28,98327.49,100
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",2002,2002,"CMT","MFN",13.27,7.59,4.42,3,23,29,0,8,98327.49,
"I3","H1","484","Mexico","1410","Quarrying of stone, sand and clay","840","United States",2002,2002,"CMT","PRF",0.04,0.02,0.18,0,1,,,0,98331.198,
"I3","H1","484","Mexico","1421","Mining of chemical and fertilizer minerals","840","United States",1996,1996,"CMT","AHS",8.35,8.21,3.96,0,10,26,0,0,55936.642,
"I3","H1","484","Mexico","1421","Mining of chemical and fertilizer minerals","840","United States",1996,1996,"CMT","BND",33.63,31.55,5.54,10,50,42,0,41,55936.642,100
